price,brand,resolution,screen_size,level_1_model,processor_speed,ram,warranty,hdd_exist,ssd_exist,graphic_card_exist,storage
0,1230.0,apple,wqxga,13.3,macbook pro,2.6,16.0,1,0,1,0,256.0
1,630.0,dell,fhd,14.0,latitude,2.4,8.0,1,0,1,0,256.0
2,370.0,dell,hd+,14.0,latitude,1.9,8.0,1,1,0,0,500.0
3,310.0,dell,sxga,14.0,inpiron,2.4,4.0,1,1,0,0,500.0
4,395.0,dell,sxga,14.0,inpiron,1.7,4.0,1,1,0,0,500.0
5,315.0,dell,hd,14.0,vostro,2.6,4.0,1,1,0,0,500.0
6,310.0,lenovo,hd,14.0,thinkpad,2.6,4.0,1,0,0,0,0.0
7,420.0,dell,hd,13.3,latitude,2.2,8.0,0,0,1,1,500.0
8,170.0,apple,hd,13.0,macbook air,1.8,8.0,0,0,0,0,0.0
9,1472.12,dell,hd,14.0,latitude,2.0,16.0,0,0,1,0,1024.0
10,1550.2,siemens,xga,14.1,simatic,0.7,0.125,0,1,0,0,40.0
11,1037.08,hp,fhd,14.0,notebook,1.8,8.0,0,0,1,0,512.0
12,1416.1,siemens,sxga,15.0,simatic,2.0,0.125,0,1,0,0,80.0
13,2656.59,dell,hd,14.0,latitude,2.3,16.0,0,0,1,0,2048.0
14,1545.41,siemens,xga,14.1,simatic,0.7,0.125,0,1,0,0,20.0
15,1166.8,lenovo,fhd,15.6,ideapad,2.4,8.0,0,0,1,0,128.0
16,746.18,hp,fhd,14.0,pavilion,1.2,8.0,0,0,1,0,256.0
17,926.03,lenovo,fhd,14.0,ideapad,1.0,8.0,0,0,1,0,256.0
18,1350.0,aftershock,fhd,15.6,apex,2.2,16.0,0,0,1,1,512.0
19,253.2,fujitsu,xga,13.3,lifebook,2.0,1.0,0,1,0,0,60.0
20,3187.91,dell,hd,14.0,latitude,2.3,32.0,0,0,1,0,2048.0
21,1212.54,apple,qhd,15.4,macbook pro,2.5,16.0,0,0,1,1,256.0
22,839.44,asus,fhd,13.3,zenbook,0.8,8.0,1,0,1,0,256.0
23,1578.94,siemens,sxga,15.0,simatic,2.0,0.125,0,1,0,0,80.0
24,899.0,asus,fhd,14.0,vivobook,2.6,8.0,0,0,1,0,256.0
25,614.65,compaq,vga,12.1,armada,0.15,0.03125,0,1,0,0,5.6
26,888.99,hp,fhd,15.6,notebook,2.1,8.0,0,0,1,0,256.0
27,839.46,acer,hd,15.6,aspire,1.0,8.0,0,0,1,0,1024.0
28,981.59,lenovo,fhd,14.0,ideapad,1.3,8.0,0,0,1,0,256.0
29,235.0,lenovo,hd,14.0,thinkpad,2.5,4.0,1,1,0,1,320.0
30,2696.09,dell,fhd,15.6,xps,2.6,16.0,0,0,1,1,512.0
31,545.98,lenovo,fhd,15.6,ideapad,2.3,4.0,0,0,1,0,128.0
32,1444.62,msi,fhd,15.6,bravo,2.9,8.0,0,0,1,1,512.0
